OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
9919,6,343317,524,N24,1,1,5507,*,,36,TI,I,CASTIELLO DE JACA - PTE DE LA REINA,28,079,MADRID,A,Calle de Castiello de Jaca N 15,20101102,20100925,,371.4058,22.441,6,_,,,6_N_524_____1_IT_1_6_5507_*__TI_I_36,,,,6_N_524___,6_N_524_____1_IT_1,6_5507,6_5507_*,6_5507_,
9920,6,358868,176,176,2,1,5507,*,,10,TI,I,CASTIELLO DE JACA - PTE DE LA REINA,28,079,MADRID,A,Calle de Castiello de Jaca N 15,20151013,20170313,,371.4058,19.007,6,_,,,6__176_____2_IT_1_6_5507_*__TI_I_10,,,,6__176___,6__176_____2_IT_1,6_5507,6_5507_*,6_5507_,
9921,6,367519,003,3,1,1,5059,*,,15,TI,I,HORTALEZA-INFANTAS,28,079,MADRID,A,Calle de Hortaleza N 20,20211121,20211122,,255.0048,9.673,6,_,,,6__3_____1_IT_1_6_5059_*__TI_I_15,,,,6__3___,6__3_____1_IT_1,6_5059,6_5059_*,6_5059_,
9922,6,369726,310,310,2,1,5316,*,,10,TI,I,CALLE DE JAVIER DE MIGUEL,28,079,MADRID,A,Calle de Javier de Miguel N 63,20230324,20230324,,196.954,12.242,6,_,,,6__310_____2_IT_1_6_5316_*__TI_I_10,,,,6__310___,6__310_____2_IT_1,6_5316,6_5316_*,6_5316_,
9923,6,283988,026,26,2,1,5500,*,,19,TI,I,ATOCHA-LEON,28,079,MADRID,A,Calle de Atocha N 53,19991221,19861001,,306.6759,10.046,6,93_138,,,6__26_____2_IT_1_6_5500_*__TI_I_19,,,,6__26___,6__26_____2_IT_1,6_5500,6_5500_*,6_5500_,
9924,6,351604,526,N26,1,1,5500,*,,9,TI,I,ATOCHA-LEON,28,079,MADRID,A,Calle de Atocha N 53,20140204,20140113,,833.7287,0,6,93_138,,,6_N_526_____1_IT_1_6_5500_*__TI_I_9,,-,,6_N_526___,6_N_526____-_1_IT_1,6_5500,6_5500_*,6_5500_,
9925,6,352418,032,32,2,1,5500,*,,31,TI,I,ATOCHA-LEON,28,079,MADRID,A,Calle de Atocha N 53,20060210,20140526,,306.6762,0,6,93_138,,,6__32_____2_IT_1_6_5500_*__TI_I_31,,,,6__32___,6__32_____2_IT_1,6_5500,6_5500_*,6_5500_,
9926,6,352415,006,6,2,1,5500,*,,25,TI,I,ATOCHA-LEON,28,079,MADRID,A,Calle de Atocha N 53,19991221,20140526,,306.6762,12.686,6,93_138,,,6__6_____2_IT_1_6_5500_*__TI_I_25,,,,6__6___,6__6_____2_IT_1,6_5500,6_5500_*,6_5500_,
9927,6,341830,149,149,1,1,5501,*,,2,TI,I,FUENCARRAL-SANDOVAL,28,079,MADRID,A,Calle de Fuencarral N 120,20100219,20090522,,655.3664,10.514,6,93_160,,,6__149_____1_IT_1_6_5501_*__TI_I_2,,,,6__149___,6__149_____1_IT_1,6_5501,6_5501_*,6_5501_,
9928,6,333029,071,71,1,1,5236,*,,7,TI,I,FELIX RODRIGUEZ DE LA FUENTE-POETA BLAS DE OTERO,28,079,MADRID,A,Calle de Félix Rodríguez de la Fuente N 91,20040730,20041120,,131.8658,14.08,6,_,,,6__71_____1_IT_1_6_5236_*__TI_I_7,,,,6__71___,6__71_____1_IT_1,6_5236,6_5236_*,6_5236_,
9929,6,332574,071,71,2,1,5237,*,,34,TI,I,FELIX RODRIGUEZ DE LA FUENTE-POETA BLAS DE OTERO,28,079,MADRID,A,Calle de Félix Rodríguez de la Fuente N 91,20040112,20040126,,1037.5535,14.344,6,_,,,6__71_____2_IT_1_6_5237_*__TI_I_34,,,,6__71___,6__71_____2_IT_1,6_5237,6_5237_*,6_5237_,
9930,6,333176,153,153,2,1,5229,*,,11,TI,I,BOJ-AV.LOS ANDES,28,079,MADRID,A,Calle de Boj N 5,20041027,20041023,,380.7261,14.172,6,_,,,6__153_____2_IT_1_6_5229_*__TI_I_11,,,,6__153___,6__153_____2_IT_1,6_5229,6_5229_*,6_5229_,
9931,6,333176,153,153,2,1,5230,*,,12,TI,I,SANDALO-AV.LOS PRUNOS,28,079,MADRID,A,Calle de Sándalo N 23,20041027,20041023,,169.3348,14.172,6,_,,,6__153_____2_IT_1_6_5230_*__TI_I_12,,,,6__153___,6__153_____2_IT_1,6_5230,6_5230_*,6_5230_,
9932,6,333176,153,153,2,1,5231,*,,13,TI,I,GUADALAJARA-CONDE POSADAS,28,079,MADRID,A,Calle de Guadalajara N 11C,20041027,20041023,,278.7731,14.172,6,_,,,6__153_____2_IT_1_6_5231_*__TI_I_13,,,,6__153___,6__153_____2_IT_1,6_5231,6_5231_*,6_5231_,
9933,6,333176,153,153,2,1,5232,*,,21,TI,I,SAN ROMUALDO-CRONOS,28,079,MADRID,A,Calle de San Romualdo N 32,20041027,20041023,,142.2337,14.172,6,_,,,6__153_____2_IT_1_6_5232_*__TI_I_21,,,,6__153___,6__153_____2_IT_1,6_5232,6_5232_*,6_5232_,
9934,6,333176,153,153,2,1,5233,*,,28,TI,I,CALLE DE ARCOS DE JALÓN,28,079,MADRID,A,Calle de Arcos de Jalón SN SN,20041027,20041023,,351.0221,14.172,6,_,,,6__153_____2_IT_1_6_5233_*__TI_I_28,,,,6__153___,6__153_____2_IT_1,6_5233,6_5233_*,6_5233_,
9935,6,333176,153,153,2,1,5234,*,,33,TI,I,SUECIA-PASEO DE GINEBRA,28,079,MADRID,A,Calle de Suecia N 44,20041027,20041023,,240.8898,14.172,6,93_256,,,6__153_____2_IT_1_6_5234_*__TI_I_33,,,,6__153___,6__153_____2_IT_1,6_5234,6_5234_*,6_5234_,
