codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
1361,4669,Pº ACACIAS-DR.VALLEJO NAJERA,116,Paseo de las Acacias 40,28005,2
1361,4669,Pº ACACIAS-DR.VALLEJO NAJERA,118,Paseo de las Acacias 40,28005,2
1361,4669,Pº ACACIAS-DR.VALLEJO NAJERA,119,Paseo de las Acacias 40,28005,2
1155,875,Pº. EXTREMADURA-GUADARRAMA,31,Paseo de Extremadura 92,28011,10
1155,875,Pº. EXTREMADURA-GUADARRAMA,33,Paseo de Extremadura 92,28011,10
1155,875,Pº. EXTREMADURA-GUADARRAMA,36,Paseo de Extremadura 92,28011,10
1155,875,Pº. EXTREMADURA-GUADARRAMA,39,Paseo de Extremadura 92,28011,10
1155,875,Pº. EXTREMADURA-GUADARRAMA,65,Paseo de Extremadura 92,28011,10
1155,875,Pº. EXTREMADURA-GUADARRAMA,N19,Paseo de Extremadura 92,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,31,Paseo de Extremadura 5,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,33,Paseo de Extremadura 5,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,36,Paseo de Extremadura 5,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,39,Paseo de Extremadura 5,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,65,Paseo de Extremadura 5,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,138,Paseo de Extremadura 5,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,N18,Paseo de Extremadura 5,28011,10
1167,872,Pº EXTREMADURA-PTE.SEGOVIA,N19,Paseo de Extremadura 5,28011,10
1165,876,Pº EXTREMADURA-GUADARRAMA,31,Paseo de Extremadura 67,28011,10
1165,876,Pº EXTREMADURA-GUADARRAMA,33,Paseo de Extremadura 67,28011,10
1165,876,Pº EXTREMADURA-GUADARRAMA,36,Paseo de Extremadura 67,28011,10
1165,876,Pº EXTREMADURA-GUADARRAMA,39,Paseo de Extremadura 67,28011,10
1165,876,Pº EXTREMADURA-GUADARRAMA,65,Paseo de Extremadura 67,28011,10
1165,876,Pº EXTREMADURA-GUADARRAMA,N19,Paseo de Extremadura 67,28011,10
1153,871,Pº EXTREMADURA-PTE.SEGOVIA,31,Paseo de Extremadura 6,28011,10
1153,871,Pº EXTREMADURA-PTE.SEGOVIA,33,Paseo de Extremadura 6,28011,10
1153,871,Pº EXTREMADURA-PTE.SEGOVIA,36,Paseo de Extremadura 6,28011,10
1153,871,Pº EXTREMADURA-PTE.SEGOVIA,39,Paseo de Extremadura 6,28011,10
1153,871,Pº EXTREMADURA-PTE.SEGOVIA,65,Paseo de Extremadura 6,28011,10
1153,871,Pº EXTREMADURA-PTE.SEGOVIA,N18,Paseo de Extremadura 6,28011,10
1153,871,Pº EXTREMADURA-PTE.SEGOVIA,N19,Paseo de Extremadura 6,28011,10
1018,4213,Pº ERMITA DEL SANTO-PTE.SEGOVIA,25,Paseo de la Ermita del Santo 2,28011,10
1154,873,Pº EXTREMADURA-PTA.DEL ANGEL,31,Paseo de Extremadura 36,28011,10
1154,873,Pº EXTREMADURA-PTA.DEL ANGEL,33,Paseo de Extremadura 36,28011,10
1154,873,Pº EXTREMADURA-PTA.DEL ANGEL,36,Paseo de Extremadura 36,28011,10
1154,873,Pº EXTREMADURA-PTA.DEL ANGEL,39,Paseo de Extremadura 36,28011,10
1154,873,Pº EXTREMADURA-PTA.DEL ANGEL,65,Paseo de Extremadura 36,28011,10
1154,873,Pº EXTREMADURA-PTA.DEL ANGEL,N19,Paseo de Extremadura 36,28011,10
1166,874,Pº EXTREMADURA-PTA.DEL ANGEL,31,Paseo de Extremadura 31,28011,10
1166,874,Pº EXTREMADURA-PTA.DEL ANGEL,33,Paseo de Extremadura 31,28011,10
1166,874,Pº EXTREMADURA-PTA.DEL ANGEL,36,Paseo de Extremadura 31,28011,10
1166,874,Pº EXTREMADURA-PTA.DEL ANGEL,39,Paseo de Extremadura 31,28011,10
1166,874,Pº EXTREMADURA-PTA.DEL ANGEL,65,Paseo de Extremadura 31,28011,10
1166,874,Pº EXTREMADURA-PTA.DEL ANGEL,N19,Paseo de Extremadura 31,28011,10
5825,5332,AVENIDA ENTREVIAS-MEMBEZAR,24,AVDA DE ENTREVIAS SN,28053,13
6300,5911,JUAN ANTONIO SAMARANCH-GTA.ANTONIO PERPIÑA,171,Calle  Provisional Parque de Valdebebas Tres 8,28055,16
6300,5911,JUAN ANTONIO SAMARANCH-GTA.ANTONIO PERPIÑA,174,Calle  Provisional Parque de Valdebebas Tres 8,28055,16
6300,5911,JUAN ANTONIO SAMARANCH-GTA.ANTONIO PERPIÑA,N2,Calle  Provisional Parque de Valdebebas Tres 8,28055,16
6301,5912,JUAN ANTONIO SAMARANCH-GTA.ANTONIO PERPIÑA,171,Calle  Provisional Parque de Valdebebas Tres 8,28055,16
6301,5912,JUAN ANTONIO SAMARANCH-GTA.ANTONIO PERPIÑA,174,Calle  Provisional Parque de Valdebebas Tres 8,28055,16
6301,5912,JUAN ANTONIO SAMARANCH-GTA.ANTONIO PERPIÑA,N2,Calle  Provisional Parque de Valdebebas Tres 8,28055,16
6302,268,LOPEZ DE HOYOS-CARTAGENA,9,Calle de López de Hoyos 69,28002,5
6302,268,LOPEZ DE HOYOS-CARTAGENA,73,Calle de López de Hoyos 69,28002,5
6302,268,LOPEZ DE HOYOS-CARTAGENA,N2,Calle de López de Hoyos 69,28002,5
6303,273,LOPEZ DE HOYOS-PZA.PROSPERIDAD,1,Calle de López de Hoyos 104,28002,5
731,586,BLAS CABRERA-AV.LAS AGUILAS,139,Calle del General Romero Basart 1,28044,10
737,4678,JOAQUIN COSTA-PZA.REP.ARGENTINA,C1,Calle de Joaquín Costa 20,28002,5
1013,622,DUQUESA DE PARCENT - GTA. LOS CARMENES,25,Calle de la Duquesa de Parcent 2,28047,10
1013,622,DUQUESA DE PARCENT - GTA. LOS CARMENES,31,Calle de la Duquesa de Parcent 2,28047,10
1013,622,DUQUESA DE PARCENT - GTA. LOS CARMENES,N18,Calle de la Duquesa de Parcent 2,28047,10
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,25,Paseo de la Virgen del Puerto 5,28005,1
